[INFO][2017-06-28 13:08:32,012][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:08:38,925][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:08:38,962][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:08:39,073][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:08:39,087][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:08:39,088][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:08:39,090][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:08:39,464][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:08:39,530][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:09:43,719][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:09:43,753][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:09:43,852][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:09:43,856][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:09:43,857][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:09:43,858][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:09:44,207][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:09:44,279][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:11:05,585][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:11:05,614][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:11:05,705][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:11:05,709][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:11:05,711][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:11:05,712][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:11:06,054][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:11:06,130][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:11:06,133][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2017-06-28 13:11:06,243][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:11:06,243][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:11:06,246][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:11:06,254][java.sql.DatabaseMetaData]HHH000262: Table not found: t_user
[INFO][2017-06-28 13:11:06,255][java.sql.DatabaseMetaData]HHH000262: Table not found: t_user
[INFO][2017-06-28 13:11:06,255][java.sql.DatabaseMetaData]HHH000262: Table not found: t_user
[ERROR][2017-06-28 13:11:06,297][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000388: Unsuccessful: create table t_user (id varchar(255) not null auto_increment, birthday varchar(255), name varchar(255), password varchar(255), primary key (id))
[ERROR][2017-06-28 13:11:06,297][org.hibernate.tool.hbm2ddl.SchemaUpdate]Incorrect column specifier for column 'id'
[INFO][2017-06-28 13:11:06,297][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[WARN][2017-06-28 13:11:12,831][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]SQL Error: 1146, SQLState: 42S02
[ERROR][2017-06-28 13:11:12,831][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]Table 'hemscommunity.t_user' doesn't exist
[INFO][2017-06-28 13:12:21,417][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:12:27,472][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:12:27,505][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2017-06-28 13:12:27,599][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2017-06-28 13:12:27,604][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2017-06-28 13:12:27,606][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2017-06-28 13:12:27,607][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2017-06-28 13:12:27,945][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
[INFO][2017-06-28 13:12:28,027][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2017-06-28 13:12:28,030][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2017-06-28 13:12:28,175][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2017-06-28 13:12:28,175][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2017-06-28 13:12:28,179][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2017-06-28 13:12:28,190][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: HemsCommunity.t_user
[INFO][2017-06-28 13:12:28,190][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id]
[INFO][2017-06-28 13:12:28,191][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2017-06-28 13:12:28,191][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: []
[INFO][2017-06-28 13:12:28,292][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2017-06-28 13:21:43,458][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2017-06-28 13:22:05,286][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2017-06-28 13:22:05,319][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
